============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
13658: E[0:01:55]-R[0:05:07]: Return=-170.00, Steps=114, Features = 91
13809: E[0:01:57]-R[0:05:06]: Return=-91.00, Steps=28, Features = 92
13895: E[0:01:58]-R[0:05:06]: Return=-57.00, Steps=15, Features = 92
14039: E[0:01:59]-R[0:05:06]: Return=-154.00, Steps=75, Features = 92
14205: E[0:02:00]-R[0:05:03]: Return=-36.00, Steps=17, Features = 92
14353: E[0:02:01]-R[0:05:02]: Return=-64.00, Steps=26, Features = 93
14481: E[0:02:02]-R[0:05:00]: Return=-69.00, Steps=33, Features = 93
14598: E[0:02:04]-R[0:05:00]: Return=-119.00, Steps=32, Features = 93
14714: E[0:02:05]-R[0:04:59]: Return=-74.00, Steps=11, Features = 93
14868: E[0:02:06]-R[0:04:57]: Return=-69.00, Steps=19, Features = 93
15031: E[0:02:07]-R[0:04:55]: Return=-110.00, Steps=76, Features = 93
15168: E[0:02:08]-R[0:04:54]: Return=-60.00, Steps=26, Features = 93
15316: E[0:02:09]-R[0:04:53]: Return=-54.00, Steps=13, Features = 93
15482: E[0:02:10]-R[0:04:51]: Return=-70.00, Steps=25, Features = 93
15634: E[0:02:11]-R[0:04:49]: Return=-40.00, Steps=13, Features = 93
15791: E[0:02:12]-R[0:04:47]: Return=-15.00, Steps=10, Features = 93
15947: E[0:02:13]-R[0:04:45]: Return=-76.00, Steps=11, Features = 93
16103: E[0:02:15]-R[0:04:43]: Return=-72.00, Steps=10, Features = 93
16258: E[0:02:16]-R[0:04:41]: Return=-75.00, Steps=14, Features = 93
16416: E[0:02:17]-R[0:04:39]: Return=-72.00, Steps=10, Features = 93
16577: E[0:02:18]-R[0:04:38]: Return=-76.00, Steps=13, Features = 93
16730: E[0:02:19]-R[0:04:36]: Return=23.00, Steps=10, Features = 93
16870: E[0:02:20]-R[0:04:35]: Return=23.00, Steps=21, Features = 93
16968: E[0:02:21]-R[0:04:34]: Return=-78.00, Steps=14, Features = 95
17086: E[0:02:22]-R[0:04:33]: Return=-106.00, Steps=40, Features = 95
17239: E[0:02:23]-R[0:04:31]: Return=-94.00, Steps=25, Features = 95
17407: E[0:02:24]-R[0:04:30]: Return=-60.00, Steps=34, Features = 96
17485: E[0:02:25]-R[0:04:30]: Return=-88.00, Steps=20, Features = 96
17608: E[0:02:26]-R[0:04:29]: Return=-78.00, Steps=10, Features = 96
17737: E[0:02:27]-R[0:04:28]: Return=-96.00, Steps=36, Features = 96
17984: E[0:02:29]-R[0:04:25]: Return=-131.00, Steps=96, Features = 96
18115: E[0:02:30]-R[0:04:24]: Return=-165.00, Steps=85, Features = 96
18230: E[0:02:31]-R[0:04:24]: Return=-75.00, Steps=23, Features = 96
18367: E[0:02:33]-R[0:04:23]: Return=-106.00, Steps=76, Features = 97
18498: E[0:02:34]-R[0:04:22]: Return=-70.00, Steps=25, Features = 97
18603: E[0:02:35]-R[0:04:22]: Return=-70.00, Steps=10, Features = 97
18719: E[0:02:36]-R[0:04:21]: Return=28.00, Steps=24, Features = 97
18802: E[0:02:37]-R[0:04:21]: Return=31.00, Steps=11, Features = 97
18957: E[0:02:38]-R[0:04:19]: Return=8.00, Steps=11, Features = 97
19120: E[0:02:39]-R[0:04:17]: Return=-45.00, Steps=21, Features = 97
19265: E[0:02:41]-R[0:04:16]: Return=-279.00, Steps=145, Features = 98
19363: E[0:02:42]-R[0:04:16]: Return=-111.00, Steps=56, Features = 98
19485: E[0:02:43]-R[0:04:15]: Return=65.00, Steps=10, Features = 98
19638: E[0:02:44]-R[0:04:13]: Return=-19.00, Steps=15, Features = 99
19765: E[0:02:45]-R[0:04:13]: Return=-89.00, Steps=27, Features = 99
19908: E[0:02:46]-R[0:04:12]: Return=-150.00, Steps=84, Features = 99
20000 >>> E[0:02:47]-R[0:04:11]: Return=-15.00, Steps=10, Features = 99
20139: E[0:02:48]-R[0:04:10]: Return=-85.00, Steps=29, Features = 99
20304: E[0:02:49]-R[0:04:08]: Return=-46.00, Steps=17, Features = 99
20418: E[0:02:51]-R[0:04:07]: Return=-73.00, Steps=11, Features = 99
20560: E[0:02:52]-R[0:04:06]: Return=39.00, Steps=46, Features = 99
20708: E[0:02:53]-R[0:04:04]: Return=-61.00, Steps=18, Features = 99
20788: E[0:02:54]-R[0:04:04]: Return=31.00, Steps=10, Features = 99
20939: E[0:02:55]-R[0:04:03]: Return=55.00, Steps=27, Features = 99
21137: E[0:02:56]-R[0:04:01]: Return=74.00, Steps=57, Features = 99
21279: E[0:02:57]-R[0:03:59]: Return=-50.00, Steps=30, Features = 99
21414: E[0:02:58]-R[0:03:58]: Return=23.00, Steps=10, Features = 99
21540: E[0:02:59]-R[0:03:57]: Return=-72.00, Steps=22, Features = 99
21691: E[0:03:00]-R[0:03:55]: Return=-89.00, Steps=50, Features = 99
21868: E[0:03:02]-R[0:03:54]: Return=-132.00, Steps=100, Features = 99
22021: E[0:03:03]-R[0:03:52]: Return=-80.00, Steps=18, Features = 100
22166: E[0:03:04]-R[0:03:51]: Return=-178.00, Steps=65, Features = 100
22442: E[0:03:07]-R[0:03:49]: Return=-157.00, Steps=207, Features = 100
22560: E[0:03:08]-R[0:03:49]: Return=-52.00, Steps=28, Features = 100
22751: E[0:03:09]-R[0:03:47]: Return=-126.00, Steps=89, Features = 100
22892: E[0:03:10]-R[0:03:45]: Return=-80.00, Steps=17, Features = 100
23083: E[0:03:12]-R[0:03:43]: Return=-82.00, Steps=49, Features = 100
23238: E[0:03:13]-R[0:03:42]: Return=-33.00, Steps=11, Features = 100
23406: E[0:03:14]-R[0:03:40]: Return=-30.00, Steps=49, Features = 100
23636: E[0:03:15]-R[0:03:38]: Return=-241.00, Steps=126, Features = 100
23764: E[0:03:16]-R[0:03:37]: Return=-53.00, Steps=11, Features = 100
