============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	45.000
Batch Threshold:		45.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-45/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
15368: E[0:03:14]-R[0:07:16]: Return=-71.00, Steps=12, Features = 1498
15476: E[0:03:15]-R[0:07:15]: Return=-16.00, Steps=43, Features = 1500
15531: E[0:03:16]-R[0:07:15]: Return=0.00, Steps=14, Features = 1501
15614: E[0:03:17]-R[0:07:15]: Return=-72.00, Steps=25, Features = 1509
15770: E[0:03:19]-R[0:07:12]: Return=24.00, Steps=66, Features = 1512
15894: E[0:03:21]-R[0:07:11]: Return=-94.00, Steps=59, Features = 1512
15981: E[0:03:22]-R[0:07:10]: Return=-71.00, Steps=12, Features = 1514
16035: E[0:03:23]-R[0:07:10]: Return=-75.00, Steps=10, Features = 1514
16091: E[0:03:24]-R[0:07:10]: Return=-102.00, Steps=36, Features = 1515
16162: E[0:03:25]-R[0:07:10]: Return=-32.00, Steps=10, Features = 1518
16252: E[0:03:26]-R[0:07:09]: Return=-88.00, Steps=37, Features = 1520
16317: E[0:03:28]-R[0:07:09]: Return=-90.00, Steps=20, Features = 1524
16423: E[0:03:29]-R[0:07:07]: Return=-44.00, Steps=19, Features = 1526
16532: E[0:03:30]-R[0:07:05]: Return=23.00, Steps=30, Features = 1532
16618: E[0:03:31]-R[0:07:04]: Return=-54.00, Steps=11, Features = 1540
16717: E[0:03:32]-R[0:07:02]: Return=-75.00, Steps=19, Features = 1551
16804: E[0:03:33]-R[0:07:01]: Return=-39.00, Steps=13, Features = 1556
16887: E[0:03:34]-R[0:07:00]: Return=-33.00, Steps=10, Features = 1560
16981: E[0:03:35]-R[0:06:59]: Return=-51.00, Steps=45, Features = 1561
17059: E[0:03:37]-R[0:06:58]: Return=-78.00, Steps=35, Features = 1567
17144: E[0:03:38]-R[0:06:58]: Return=-36.00, Steps=27, Features = 1569
17235: E[0:03:39]-R[0:06:56]: Return=-39.00, Steps=12, Features = 1577
17311: E[0:03:40]-R[0:06:56]: Return=-69.00, Steps=17, Features = 1583
17390: E[0:03:41]-R[0:06:55]: Return=-59.00, Steps=12, Features = 1594
17464: E[0:03:42]-R[0:06:54]: Return=-32.00, Steps=10, Features = 1598
17523: E[0:03:44]-R[0:06:54]: Return=-13.00, Steps=22, Features = 1604
17588: E[0:03:45]-R[0:06:54]: Return=-53.00, Steps=17, Features = 1610
17673: E[0:03:46]-R[0:06:53]: Return=23.00, Steps=14, Features = 1614
17745: E[0:03:47]-R[0:06:53]: Return=-63.00, Steps=10, Features = 1620
17830: E[0:03:48]-R[0:06:52]: Return=-21.00, Steps=13, Features = 1627
17954: E[0:03:50]-R[0:06:51]: Return=-102.00, Steps=75, Features = 1630
18044: E[0:03:51]-R[0:06:50]: Return=-17.00, Steps=12, Features = 1631
18141: E[0:03:52]-R[0:06:48]: Return=-78.00, Steps=22, Features = 1639
18191: E[0:03:54]-R[0:06:48]: Return=-48.00, Steps=17, Features = 1639
18261: E[0:03:55]-R[0:06:48]: Return=-74.00, Steps=10, Features = 1639
18340: E[0:03:56]-R[0:06:47]: Return=-55.00, Steps=33, Features = 1642
18402: E[0:03:57]-R[0:06:47]: Return=-38.00, Steps=11, Features = 1652
18471: E[0:03:58]-R[0:06:47]: Return=-11.00, Steps=28, Features = 1656
18563: E[0:03:59]-R[0:06:45]: Return=-95.00, Steps=36, Features = 1668
18647: E[0:04:00]-R[0:06:44]: Return=-42.00, Steps=26, Features = 1676
18752: E[0:04:02]-R[0:06:43]: Return=-99.00, Steps=27, Features = 1678
18836: E[0:04:03]-R[0:06:42]: Return=-54.00, Steps=22, Features = 1679
18926: E[0:04:04]-R[0:06:41]: Return=-110.00, Steps=45, Features = 1688
19024: E[0:04:05]-R[0:06:39]: Return=-60.00, Steps=38, Features = 1698
19100: E[0:04:06]-R[0:06:39]: Return=-36.00, Steps=10, Features = 1699
19177: E[0:04:08]-R[0:06:38]: Return=7.00, Steps=28, Features = 1707
19275: E[0:04:09]-R[0:06:37]: Return=-67.00, Steps=37, Features = 1711
19383: E[0:04:11]-R[0:06:36]: Return=-31.00, Steps=55, Features = 1713
19456: E[0:04:12]-R[0:06:36]: Return=6.00, Steps=12, Features = 1717
19537: E[0:04:13]-R[0:06:35]: Return=42.00, Steps=10, Features = 1718
19615: E[0:04:14]-R[0:06:34]: Return=-24.00, Steps=14, Features = 1723
