============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
19180: E[0:02:36]-R[0:04:10]: Return=-31.00, Steps=10, Features = 96
19361: E[0:02:37]-R[0:04:08]: Return=-129.00, Steps=45, Features = 96
19473: E[0:02:38]-R[0:04:07]: Return=-71.00, Steps=10, Features = 96
19583: E[0:02:39]-R[0:04:07]: Return=-72.00, Steps=11, Features = 96
19659: E[0:02:40]-R[0:04:07]: Return=-77.00, Steps=10, Features = 96
19781: E[0:02:41]-R[0:04:06]: Return=1.00, Steps=10, Features = 96
19894: E[0:02:42]-R[0:04:05]: Return=-36.00, Steps=22, Features = 96
20000 >>> E[0:02:43]-R[0:04:05]: Return=-22.00, Steps=24, Features = 96
20174: E[0:02:44]-R[0:04:03]: Return=-10.00, Steps=27, Features = 96
20383: E[0:02:46]-R[0:04:01]: Return=-153.00, Steps=84, Features = 96
20539: E[0:02:47]-R[0:04:00]: Return=-120.00, Steps=33, Features = 96
20655: E[0:02:48]-R[0:03:59]: Return=22.00, Steps=11, Features = 96
20755: E[0:02:49]-R[0:03:58]: Return=-52.00, Steps=18, Features = 97
20892: E[0:02:50]-R[0:03:57]: Return=-117.00, Steps=43, Features = 97
20993: E[0:02:51]-R[0:03:57]: Return=22.00, Steps=10, Features = 97
21122: E[0:02:52]-R[0:03:56]: Return=-74.00, Steps=10, Features = 97
21273: E[0:02:54]-R[0:03:54]: Return=-78.00, Steps=42, Features = 97
21376: E[0:02:55]-R[0:03:54]: Return=-20.00, Steps=16, Features = 97
21463: E[0:02:56]-R[0:03:53]: Return=-48.00, Steps=11, Features = 97
21647: E[0:02:57]-R[0:03:52]: Return=-79.00, Steps=34, Features = 97
21812: E[0:02:58]-R[0:03:50]: Return=11.00, Steps=68, Features = 97
21966: E[0:02:59]-R[0:03:48]: Return=-71.00, Steps=10, Features = 97
22091: E[0:03:00]-R[0:03:48]: Return=-32.00, Steps=46, Features = 98
22197: E[0:03:02]-R[0:03:47]: Return=-79.00, Steps=12, Features = 98
22292: E[0:03:03]-R[0:03:47]: Return=-88.00, Steps=31, Features = 98
22447: E[0:03:04]-R[0:03:46]: Return=-61.00, Steps=26, Features = 98
22601: E[0:03:05]-R[0:03:44]: Return=-76.00, Steps=11, Features = 99
22724: E[0:03:06]-R[0:03:43]: Return=-84.00, Steps=17, Features = 99
22806: E[0:03:07]-R[0:03:43]: Return=25.00, Steps=10, Features = 99
22960: E[0:03:08]-R[0:03:41]: Return=-68.00, Steps=10, Features = 99
23125: E[0:03:09]-R[0:03:40]: Return=-154.00, Steps=55, Features = 100
23329: E[0:03:12]-R[0:03:39]: Return=-164.00, Steps=85, Features = 100
23436: E[0:03:13]-R[0:03:38]: Return=-64.00, Steps=11, Features = 100
23591: E[0:03:14]-R[0:03:37]: Return=-78.00, Steps=40, Features = 100
23749: E[0:03:15]-R[0:03:35]: Return=-93.00, Steps=68, Features = 100
23866: E[0:03:16]-R[0:03:34]: Return=-59.00, Steps=40, Features = 100
24028: E[0:03:17]-R[0:03:33]: Return=-13.00, Steps=12, Features = 100
24148: E[0:03:18]-R[0:03:32]: Return=-35.00, Steps=10, Features = 100
24315: E[0:03:19]-R[0:03:30]: Return=-94.00, Steps=34, Features = 100
24472: E[0:03:20]-R[0:03:29]: Return=-73.00, Steps=11, Features = 100
24635: E[0:03:21]-R[0:03:27]: Return=-74.00, Steps=18, Features = 100
24796: E[0:03:22]-R[0:03:26]: Return=-77.00, Steps=14, Features = 100
24943: E[0:03:24]-R[0:03:25]: Return=-194.00, Steps=147, Features = 100
25116: E[0:03:25]-R[0:03:23]: Return=0.00, Steps=28, Features = 101
25246: E[0:03:26]-R[0:03:22]: Return=-129.00, Steps=56, Features = 101
25405: E[0:03:27]-R[0:03:21]: Return=-36.00, Steps=22, Features = 101
25534: E[0:03:28]-R[0:03:20]: Return=-68.00, Steps=64, Features = 101
25673: E[0:03:30]-R[0:03:19]: Return=41.00, Steps=24, Features = 101
25863: E[0:03:31]-R[0:03:17]: Return=-124.00, Steps=61, Features = 101
26044: E[0:03:32]-R[0:03:15]: Return=-58.00, Steps=44, Features = 101
26191: E[0:03:34]-R[0:03:14]: Return=-200.00, Steps=95, Features = 101
26287: E[0:03:35]-R[0:03:14]: Return=-89.00, Steps=23, Features = 102
26393: E[0:03:36]-R[0:03:13]: Return=-57.00, Steps=10, Features = 103
26503: E[0:03:37]-R[0:03:12]: Return=-89.00, Steps=27, Features = 103
26617: E[0:03:38]-R[0:03:11]: Return=-79.00, Steps=32, Features = 103
26762: E[0:03:39]-R[0:03:10]: Return=-57.00, Steps=27, Features = 103
26928: E[0:03:40]-R[0:03:08]: Return=-74.00, Steps=45, Features = 103
27068: E[0:03:41]-R[0:03:07]: Return=22.00, Steps=14, Features = 103
27228: E[0:03:42]-R[0:03:06]: Return=44.00, Steps=10, Features = 103
27350: E[0:03:43]-R[0:03:05]: Return=-72.00, Steps=26, Features = 103
27492: E[0:03:44]-R[0:03:04]: Return=-44.00, Steps=19, Features = 103
27578: E[0:03:45]-R[0:03:03]: Return=-10.00, Steps=14, Features = 103
27709: E[0:03:47]-R[0:03:02]: Return=-96.00, Steps=70, Features = 103
27836: E[0:03:48]-R[0:03:01]: Return=-99.00, Steps=26, Features = 104
27940: E[0:03:49]-R[0:03:01]: Return=-140.00, Steps=52, Features = 104
28123: E[0:03:51]-R[0:03:00]: Return=-195.00, Steps=100, Features = 104
28222: E[0:03:52]-R[0:02:59]: Return=-72.00, Steps=11, Features = 104
28324: E[0:03:53]-R[0:02:58]: Return=-16.00, Steps=10, Features = 104
28490: E[0:03:54]-R[0:02:57]: Return=-76.00, Steps=13, Features = 104
28649: E[0:03:55]-R[0:02:55]: Return=-34.00, Steps=10, Features = 104
28745: E[0:03:56]-R[0:02:55]: Return=-37.00, Steps=11, Features = 104
28915: E[0:03:58]-R[0:02:53]: Return=-140.00, Steps=54, Features = 104
29025: E[0:03:59]-R[0:02:52]: Return=41.00, Steps=10, Features = 104
29149: E[0:04:00]-R[0:02:52]: Return=56.00, Steps=33, Features = 104
29287: E[0:04:01]-R[0:02:50]: Return=-70.00, Steps=19, Features = 104
29397: E[0:04:02]-R[0:02:50]: Return=42.00, Steps=10, Features = 104
29513: E[0:04:03]-R[0:02:49]: Return=-51.00, Steps=25, Features = 104
29667: E[0:04:04]-R[0:02:47]: Return=-68.00, Steps=14, Features = 104
29845: E[0:04:05]-R[0:02:46]: Return=-74.00, Steps=31, Features = 104
30000 >>> E[0:04:06]-R[0:02:44]: Return=-50.00, Steps=19, Features = 105
30168: E[0:04:07]-R[0:02:43]: Return=-101.00, Steps=22, Features = 105
30340: E[0:04:08]-R[0:02:41]: Return=161.00, Steps=24, Features = 105
30508: E[0:04:10]-R[0:02:39]: Return=27.00, Steps=22, Features = 105
30675: E[0:04:11]-R[0:02:38]: Return=48.00, Steps=17, Features = 105
30831: E[0:04:12]-R[0:02:37]: Return=-70.00, Steps=24, Features = 105
30985: E[0:04:13]-R[0:02:35]: Return=-106.00, Steps=42, Features = 105
31098: E[0:04:14]-R[0:02:34]: Return=-34.00, Steps=11, Features = 105
31241: E[0:04:15]-R[0:02:33]: Return=-87.00, Steps=74, Features = 105
31377: E[0:04:17]-R[0:02:32]: Return=-72.00, Steps=101, Features = 105
